"row_index","elapsed_sec","raw_co2","detrended_co2","prominence","passed_threshold","retained_after_gap_filter"
6,2.49905908919834,431.784,0.273399999999981,0.651920000000018,FALSE,FALSE
16,7.49717726759503,431.538,0.0354000000000383,0.273160000000018,FALSE,FALSE
24,11.4956718103124,431.753,0.42011999999994,0.0679199999999582,FALSE,FALSE
32,15.4941663530297,432.12,0.685720000000003,0.040360000000021,FALSE,FALSE
45,21.9917199849454,442.149,10.0668,8.33780000000002,TRUE,TRUE
76,37.4858863379752,433.915,0.578599999999994,0.0570000000000164,FALSE,FALSE
82,40.4847572450132,433.01,0,0.0615999999999417,FALSE,FALSE
85,41.9841926985322,433.333,-0.0264000000000237,0.0503999999999678,FALSE,FALSE
100,49.4813699661272,459.967,22.2222,20.8542,TRUE,TRUE
120,59.4776063229206,435.267,1.5034,0.0266000000000304,FALSE,FALSE
122,60.4772299585999,435.594,1.58660000000003,0.12560000000002,FALSE,FALSE
130,64.4757245013173,434.953,1.214,0.246199999999988,FALSE,FALSE
135,66.9747835905156,435.399,0.586799999999982,0.132800000000032,FALSE,FALSE
144,71.4730899510726,435.896,0.660599999999931,0.269799999999861,FALSE,FALSE
149,73.972149040271,436.053,0.555600000000084,0.164800000000014,FALSE,FALSE
152,75.47158449379,435.786,0.589200000000005,0.198399999999936,FALSE,FALSE
162,80.4697026721867,442.276,8.6028,7.2038,TRUE,TRUE
166,82.4689499435454,440.575,4.58639999999997,3.7278,TRUE,FALSE
198,98.4629281144148,436.119,-0.0570000000000164,0.0237999999999943,FALSE,FALSE
202,100.462175385773,436.517,0.0303999999999292,0.0805999999998903,FALSE,FALSE
213,105.96010538201,443.928,7.36700000000002,6.90999999999997,TRUE,TRUE
231,114.956718103124,437.707,0.813400000000058,0.420600000000093,FALSE,FALSE
238,118.455400828002,437.039,0.476800000000026,0.0197999999999752,FALSE,FALSE
242,120.45464809936,437.778,0.505000000000052,0.0894000000000119,FALSE,FALSE
250,124.453142642078,436.686,0.178600000000074,0.110400000000027,FALSE,FALSE
262,130.450884456154,436.9,-0.106800000000078,0.267599999999902,FALSE,FALSE
264,131.450508091833,436.723,-0.34860000000009,0.0464000000000055,FALSE,FALSE
270,134.449378998871,442.8,5.94200000000001,4.27640000000008,TRUE,TRUE
291,144.945427173504,439.108,1.79599999999994,0.259399999999971,FALSE,FALSE
299,148.943921716221,438.991,1.70740000000001,0.0686000000000035,FALSE,FALSE
304,151.44298080542,439.219,0.283199999999965,0.0370000000000346,FALSE,FALSE
306,152.442604441099,438.978,0.204199999999901,0.0553999999999633,FALSE,FALSE
310,154.441851712458,439.11,0.151200000000017,0.032600000000059,FALSE,FALSE
315,156.940910801656,438.774,0.00240000000002283,0.0321999999999889,FALSE,FALSE
326,162.438840797892,446.579,6.50799999999998,6.28139999999996,TRUE,TRUE
349,173.934512608205,438.825,0.439000000000021,0.212400000000002,FALSE,FALSE
352,175.433948061724,439.185,0.3352000000001,0.108600000000081,FALSE,FALSE
356,177.433195333082,439.783,0.410599999999988,0.183999999999969,FALSE,FALSE
365,181.931501693639,439.253,0.0423999999999864,0.119799999999941,FALSE,FALSE
369,183.930748964998,439.185,0.0120000000000005,0.0893999999999551,FALSE,FALSE
380,189.428678961234,446.636,7.3734,6.33479999999997,TRUE,TRUE
400,199.424915318028,440.876,1.4248,0.0130000000000337,FALSE,FALSE
408,203.423409860745,440.006,0.727599999999995,0.00919999999996435,FALSE,FALSE
415,206.922092585623,440.363,0.25,0.0302000000000362,FALSE,FALSE
425,211.92021076402,440.272,0.295600000000036,0.357600000000048,FALSE,FALSE
440,219.417388031615,447.944,11.6366,10.8574,TRUE,TRUE
471,234.911554384644,440.671,0.637999999999977,0.100399999999979,FALSE,FALSE
484,241.40910801656,439.923,0.145400000000052,0.234600000000114,FALSE,FALSE
496,247.406849830636,451.168,15.6806000000001,15.3108,TRUE,TRUE
534,266.399698908543,439.432,-0.143199999999922,0.339200000000062,FALSE,FALSE
540,269.398569815581,439.36,-0.414999999999907,0.0674000000000774,FALSE,FALSE
548,273.397064358299,461.606,17.0975999999999,15.6387999999999,TRUE,TRUE
574,286.39217162213,442.013,1.81960000000004,0.360799999999983,FALSE,FALSE
585,291.890101618367,441.755,0.164600000000064,0.171800000000076,FALSE,FALSE
588,293.389537071886,441.52,0.154600000000016,0.161800000000028,FALSE,FALSE
591,294.888972525405,441.939,0.0618000000000052,0.0690000000000168,FALSE,FALSE
593,295.888596161084,441.678,-0.172599999999932,0.0768000000000484,FALSE,FALSE
600,299.387278885962,477.812,41.582,38.6518,TRUE,TRUE
647,322.878434324426,443.446,-0.0436000000000263,0.283800000000042,FALSE,FALSE
654,326.377117049304,443.773,0.0246000000000208,0.352000000000089,FALSE,FALSE
663,330.875423409861,458.154,25.8958,23.0918,TRUE,TRUE
692,345.369966127211,446.121,2.74279999999999,0.0450000000000728,FALSE,FALSE
698,348.368837034249,446.683,0.192799999999977,0.192799999999977,FALSE,FALSE
700,349.368460669928,446.813,0.245000000000005,0.245000000000005,FALSE,FALSE
707,352.867143394806,446.846,0.228999999999985,0.228999999999985,FALSE,FALSE
709,353.866767030486,446.441,0.175599999999974,0.175599999999974,FALSE,FALSE
712,355.366202484005,446.886,0.254599999999982,0.254599999999982,FALSE,FALSE
720,359.364697026722,461.6,8.58859999999993,7.74259999999998,TRUE,TRUE
744,371.360180654874,447.346,0.946200000000033,0.100200000000086,FALSE,FALSE
747,372.859616108393,447.657,0.928200000000004,0.0822000000000571,FALSE,FALSE
751,374.858863379752,446.951,0.535800000000052,0.0487999999999715,FALSE,FALSE
754,376.358298833271,447.091,0.427400000000091,0.02800000000002,FALSE,FALSE
762,380.356793375988,447.255,0.695400000000006,0.085200000000043,FALSE,FALSE
766,382.356040647347,447.385,0.697600000000023,0.0874000000000592,FALSE,FALSE
768,383.355664283026,447.644,0.736199999999997,0.126000000000033,FALSE,FALSE
776,387.354158825743,455.291,4.7247999999999,4.54859999999985,TRUE,TRUE
783,390.852841550621,449.329,1.70459999999991,1.3381999999998,FALSE,FALSE
788,393.351900639819,447.743,1.15299999999991,0.542799999999943,FALSE,FALSE
791,394.851336093338,447.776,0.930999999999983,0.32080000000002,FALSE,FALSE
803,400.849077907414,446.788,-0.0159999999999627,0.0532000000000039,FALSE,FALSE
815,406.84681972149,446.23,-0.631000000000029,0.0240000000000009,FALSE,FALSE
826,412.344749717727,452.813,8.18979999999993,7.89299999999992,TRUE,TRUE
844,421.341362438841,447.639,0.757399999999961,0.94359999999989,FALSE,FALSE
850,424.340233345879,447.338,0.36039999999997,0.0635999999999513,FALSE,FALSE
854,426.339480617237,447.09,0.419999999999959,0.183800000000019,FALSE,FALSE
857,427.838916070757,447.461,0.600200000000029,0.36400000000009,FALSE,FALSE
863,430.837786977795,446.792,0.159800000000018,0.0713999999999828,FALSE,FALSE
873,435.835905156191,460.31,20.3353999999999,19.9551999999999,TRUE,TRUE
904,451.330071509221,447.358,0.172200000000032,0.0756000000000085,FALSE,FALSE
911,454.828754234099,446.812,-0.234399999999994,0.0495999999999981,FALSE,FALSE
914,456.328189687618,446.892,-0.258800000000008,0.0462000000000558,FALSE,FALSE
918,458.327436958976,446.713,-0.34620000000001,0.0285999999999831,FALSE,FALSE
920,459.327060594656,446.975,-0.34779999999995,0.0300000000000296,FALSE,FALSE
929,463.825366955213,458.208,10.7982,10.2598,TRUE,TRUE
956,477.320286036884,447.745,0.460599999999999,0.0242000000000075,FALSE,FALSE
962,480.319156943922,447.473,0.120600000000024,0.0846000000000231,FALSE,FALSE
965,481.818592397441,447.594,0.130999999999972,0.0909999999999513,FALSE,FALSE
968,483.31802785096,447.587,0.230400000000031,0.190400000000011,FALSE,FALSE
977,487.816334211517,463.051,16.0331999999999,13.5821999999998,TRUE,TRUE
995,496.812946932631,451.514,3.65160000000009,1.58740000000012,FALSE,FALSE
1007,502.810688746707,451.453,3.01900000000001,0.567999999999927,FALSE,FALSE
1020,509.308242378623,479.041,18.5994000000001,16.5352000000001,TRUE,TRUE
1046,522.303349642454,450.545,1.51999999999998,0.0394000000000005,FALSE,FALSE
1066,532.299585999247,462.389,13.9412,14.0066,TRUE,TRUE
1099,548.793375987956,447.182,-1.39339999999999,0.0641999999999143,FALSE,FALSE
1108,553.291682348513,447.411,-1.30740000000003,0.406200000000069,FALSE,FALSE
1116,557.290176891231,614.333,105.0468,99.2826000000001,TRUE,TRUE
1163,580.781332329695,448.475,0,0.135799999999961,FALSE,FALSE
1173,585.779450508092,448.728,0.0790000000000077,0.440400000000011,FALSE,FALSE
1177,587.778697779451,448.576,0.00180000000000291,0.363200000000006,FALSE,FALSE
1179,588.77832141513,448.7,0.0333999999999719,0.394799999999975,FALSE,FALSE
1184,591.277380504328,448.664,0.262399999999957,0.62379999999996,FALSE,FALSE
1186,592.277004140008,449.409,0.0504000000000246,0.411800000000028,FALSE,FALSE
1193,595.775686864885,529.365,122.3738,112.0148,TRUE,TRUE
1235,616.767783214151,449.009,1.33360000000005,0.0576000000000363,FALSE,FALSE
1245,621.765901392548,446.768,0.606199999999944,0.606199999999944,FALSE,FALSE
1251,624.764772299586,506.53,47.4876,44.4426000000001,TRUE,TRUE
1283,640.758750470455,447.189,1.12439999999992,0.0331999999999653,FALSE,FALSE
1292,645.257056831013,446.105,0.0337999999999852,0.0158000000000129,FALSE,FALSE
1299,648.75573955589,445.856,-0.00820000000004484,0.0652000000000044,FALSE,FALSE
1303,650.754986827249,445.747,0.0825999999998999,0.220799999999883,FALSE,FALSE
1305,651.754610462928,446.304,0.0475999999999885,0.185799999999972,FALSE,FALSE
1311,654.753481369966,446.033,0.0515999999999508,0.298000000000002,FALSE,FALSE
1320,659.251787730523,446.206,0.350799999999992,0.597200000000043,FALSE,FALSE
1328,663.25028227324,446.302,0.115200000000073,0.253400000000056,FALSE,FALSE
1335,666.748964998118,445.895,-0.930999999999983,0.1096,FALSE,FALSE
1337,667.748588633798,444.865,-0.810000000000059,0.230599999999924,FALSE,FALSE
1344,671.247271358675,481.495,40.7376,37.542,TRUE,TRUE
1380,689.240496800903,447.441,1.62119999999993,0.00999999999993406,FALSE,FALSE
1383,690.739932254422,447.531,1.63919999999996,0.0735999999999422,FALSE,FALSE
1388,693.238991343621,447.088,1.56120000000004,0.100599999999986,FALSE,FALSE
1391,694.73842679714,447.036,1.70339999999993,0.242799999999875,FALSE,FALSE
1396,697.237485886338,446.203,1.1459999999999,0.00399999999996226,FALSE,FALSE
1400,699.236733157697,446.481,1.09840000000003,0.0340000000001055,FALSE,FALSE
1407,702.735415882574,446.902,1.59759999999994,0.552599999999927,FALSE,FALSE
1415,706.733910425292,446.58,1.66460000000001,0.619599999999991,FALSE,FALSE
1418,708.233345878811,446.289,1.56299999999999,0.517999999999972,FALSE,FALSE
1422,710.232593150169,446.481,1.48200000000003,0.437000000000012,FALSE,FALSE
1424,711.232216785849,446.63,1.45699999999999,0.411999999999978,FALSE,FALSE
1433,715.730523146406,445.919,0.860600000000034,0.0556000000000267,FALSE,FALSE
1435,716.730146782085,445.239,0.817000000000064,0.166200000000003,FALSE,FALSE
1440,719.229205871283,445.359,1.17899999999997,0.528199999999913,FALSE,FALSE
1450,724.22732404968,444.207,0.146800000000042,0.310800000000029,FALSE,FALSE
1461,729.725254045916,443.971,0.358600000000024,0.358600000000024,FALSE,FALSE
1470,734.223560406474,475.692,25.3562,22.3316,TRUE,TRUE
1499,748.718103123824,443.772,2.67420000000004,0.0680000000000973,FALSE,FALSE
1510,754.21603312006,442.329,1.37139999999994,0.00220000000001619,FALSE,FALSE
1513,755.715468573579,442.438,1.37099999999998,0.0706000000000131,FALSE,FALSE
1537,767.710952201731,440.725,-0.172200000000032,0.0148000000000366,FALSE,FALSE
1541,769.71019947309,440.444,-0.182800000000043,0.183400000000006,FALSE,FALSE
1545,771.709446744449,440.984,-0.0692000000000235,0.297000000000025,FALSE,FALSE
1550,774.208505833647,441.388,0.565599999999961,0.93180000000001,FALSE,FALSE
1558,778.207000376364,441.398,-0.228000000000065,0.208599999999933,FALSE,FALSE
1560,779.206624012044,440.787,-0.495600000000024,0.00460000000003902,FALSE,FALSE
1567,782.705306736921,459.244,23.4492,21.0124,TRUE,TRUE
1602,800.19872036131,442.652,0.0740000000000123,0.0284000000000333,FALSE,FALSE
1605,801.698155814829,442.852,-0.0172000000000025,0.0113999999999805,FALSE,FALSE
1616,807.196085811065,465.06,18.3138000000001,16.9192,TRUE,FALSE
